price,size,ts,is_bid
3970.0,0.3,1553082222.572691,bid
3970.0,0.07556675,1553082222.572691,bid
3970.0,0.01347927,1553082222.572691,bid
3970.0,0.125,1553082222.572691,bid
3970.0,0.0025,1553082222.572691,bid
3970.0,0.05,1553082222.572691,bid
3970.0,0.0503774,1553082222.572691,bid
3969.84,0.5,1553082222.572691,bid
3969.79,25.03765942,1553082222.572691,bid
3969.77,0.5,1553082222.572691,bid
3969.67,0.001,1553082222.572691,bid
3969.33,0.001,1553082222.572691,bid
3969.03,0.01,1553082222.572691,bid
3968.81,1.03006723,1553082222.572691,bid
3968.66,0.001,1553082222.572691,bid
3968.56,5.1,1553082222.572691,bid
3968.56,0.25,1553082222.572691,bid
3968.56,0.006,1553082222.572691,bid
3968.25,0.005,1553082222.572691,bid
3968.25,0.5,1553082222.572691,bid
3968.15,0.3,1553082222.572691,bid
3968.01,0.00412801,1553082222.572691,bid
3968.0,0.08,1553082222.572691,bid
3968.0,0.1,1553082222.572691,bid
3968.0,0.5,1553082222.572691,bid
3967.99,0.001,1553082222.572691,bid
3967.78,19.99,1553082222.572691,bid
3967.34,0.01166118,1553082222.572691,bid
3967.26,3.7,1553082222.572691,bid
3967.26,0.00575988,1553082222.572691,bid
3967.2,4.0,1553082222.572691,bid
3967.19,0.60776686,1553082222.572691,bid
3967.19,0.68381965,1553082222.572691,bid
3966.64,0.001,1553082222.572691,bid
3966.64,0.0069703000000000005,1553082222.572691,bid
3966.34,1.0,1553082222.572691,bid
3966.34,0.12938550000000001,1553082222.572691,bid
3966.31,0.48200000000000004,1553082222.572691,bid
3966.25,0.005,1553082222.572691,bid
3966.08,0.5,1553082222.572691,bid
3966.0,0.01,1553082222.572691,bid
3966.0,0.01260726,1553082222.572691,bid
3966.0,0.16960409,1553082222.572691,bid
3966.0,0.02,1553082222.572691,bid
3966.0,0.001,1553082222.572691,bid
3966.0,0.01260716,1553082222.572691,bid
3965.98,0.0176598,1553082222.572691,bid
3965.97,0.001,1553082222.572691,bid
3965.81,0.2,1553082222.572691,bid
3965.76,1.11,1553082222.572691,bid
3965.75,1.0,1553082222.572691,bid
3965.65,0.49974783,1553082222.572691,bid
3965.61,0.5,1553082222.572691,bid
3965.44,0.12608941,1553082222.572691,bid
3965.43,0.5,1553082222.572691,bid
3965.43,0.0065,1553082222.572691,bid
3965.43,7.930011299999999,1553082222.572691,bid
3965.3,0.001,1553082222.572691,bid
3965.28,0.0075,1553082222.572691,bid
3965.23,0.00601566,1553082222.572691,bid
3965.15,0.0075,1553082222.572691,bid
3965.15,0.0075,1553082222.572691,bid
3965.15,0.0075,1553082222.572691,bid
3965.05,0.01,1553082222.572691,bid
3965.0,0.07384542,1553082222.572691,bid
3965.0,0.01,1553082222.572691,bid
3965.0,0.77899187,1553082222.572691,bid
3965.0,0.1,1553082222.572691,bid
3965.0,0.01,1553082222.572691,bid
3965.0,1.0113493,1553082222.572691,bid
3965.0,0.0025,1553082222.572691,bid
3965.0,1.0,1553082222.572691,bid
3965.0,0.02522068,1553082222.572691,bid
3964.7,1.51,1553082222.572691,bid
3964.62,0.001,1553082222.572691,bid
3964.51,1.0,1553082222.572691,bid
3964.47,0.3,1553082222.572691,bid
3964.25,0.005,1553082222.572691,bid
3964.15,0.0198,1553082222.572691,bid
3964.04,4.37817218,1553082222.572691,bid
3964.0,0.1,1553082222.572691,bid
3964.0,0.6,1553082222.572691,bid
3964.0,0.00632783,1553082222.572691,bid
3963.86,22.6,1553082222.572691,bid
3963.81,3.94400755,1553082222.572691,bid
3963.71,0.25177,1553082222.572691,bid
3963.67,0.001,1553082222.572691,bid
3963.37,0.001,1553082222.572691,bid
3963.25,0.0914311,1553082222.572691,bid
3963.25,0.00649326,1553082222.572691,bid
3962.96,0.02,1553082222.572691,bid
3962.71,0.001,1553082222.572691,bid
3962.7,0.0198,1553082222.572691,bid
3962.61,0.01,1553082222.572691,bid
3962.5,0.001,1553082222.572691,bid
3962.25,0.005,1553082222.572691,bid
3962.25,0.0065,1553082222.572691,bid
3962.0,0.25239778,1553082222.572691,bid
3961.96,0.02,1553082222.572691,bid
3961.95,0.0065,1553082222.572691,bid
3961.87,0.1,1553082222.572691,bid
3961.75,0.001,1553082222.572691,bid
3961.68,0.05897339,1553082222.572691,bid
3961.53,0.25,1553082222.572691,bid
3961.52,0.02927667,1553082222.572691,bid
3961.44,0.025,1553082222.572691,bid
3961.42,1.327,1553082222.572691,bid
3961.26,0.0197,1553082222.572691,bid
3961.22,0.01215,1553082222.572691,bid
3961.16,1.0,1553082222.572691,bid
3961.07,0.01,1553082222.572691,bid
3961.0,0.12623075,1553082222.572691,bid
3961.0,0.01,1553082222.572691,bid
3960.8,0.01455761,1553082222.572691,bid
3960.79,0.001,1553082222.572691,bid
3960.75,0.5,1553082222.572691,bid
3960.62,0.03104567,1553082222.572691,bid
3960.55,0.04,1553082222.572691,bid
3960.51,0.09117106,1553082222.572691,bid
3960.5,0.2,1553082222.572691,bid
3960.1,3.73103483,1553082222.572691,bid
3960.01,0.20583262,1553082222.572691,bid
