,timestamp,price,quantity,type,exchange
606,1554086597,4265.79,0.003142,asks,gemini
107,1554086597,4008.0,0.00494011,bids,gemini
607,1554086597,4269.0,0.1,asks,gemini
108,1554086597,4007.0,0.04991265,bids,gemini
608,1554086597,4271.77,8.0,asks,gemini
109,1554086597,4005.0,4.076,bids,gemini
609,1554086597,4274.08,0.003105,asks,gemini
110,1554086597,4004.86,0.01483197,bids,gemini
610,1554086597,4280.0,0.3,asks,gemini
111,1554086597,4004.51,0.6242961,bids,gemini
611,1554086597,4288.88,0.05,asks,gemini
112,1554086597,4004.0,2.24,bids,gemini
612,1554086597,4289.29,0.003125,asks,gemini
113,1554086597,4003.32,0.00746952,bids,gemini
613,1554086597,4289.9,0.017155,asks,gemini
114,1554086597,4002.26,12.0,bids,gemini
614,1554086597,4290.0,5.0,asks,gemini
115,1554086597,4002.15,0.06246642,bids,gemini
615,1554086597,4290.49,0.003109,asks,gemini
116,1554086597,4002.0,0.00574712,bids,gemini
616,1554086597,4292.0,0.25,asks,gemini
117,1554086597,4001.96,0.02190933,bids,gemini
617,1554086597,4295.88,0.085,asks,gemini
118,1554086597,4001.34,0.023008,bids,gemini
618,1554086597,4298.5,0.007025,asks,gemini
119,1554086597,4001.21,0.00438263,bids,gemini
619,1554086597,4299.0,0.1,asks,gemini
120,1554086597,4001.0,0.16964508,bids,gemini
620,1554086597,4299.21,0.25904667,asks,gemini
121,1554086597,4000.74,0.01095791,bids,gemini
621,1554086597,4299.9,0.5,asks,gemini
122,1554086597,4000.55,0.24749096,bids,gemini
622,1554086597,4300.0,12.17,asks,gemini
123,1554086597,4000.11,0.002,bids,gemini
623,1554086597,4300.2,0.05,asks,gemini
124,1554086597,4000.1,7.499e-05,bids,gemini
624,1554086597,4311.68,0.14,asks,gemini
125,1554086597,4000.01,0.72,bids,gemini
625,1554086597,4320.0,1.0023462,asks,gemini
126,1554086597,4000.0,6.520217,bids,gemini
626,1554086597,4321.0,0.1,asks,gemini
127,1554086597,3999.74,0.00438428,bids,gemini
627,1554086597,4324.11,0.007978,asks,gemini
128,1554086597,3999.51,0.01096137,bids,gemini
628,1554086597,4325.0,1.5,asks,gemini
129,1554086597,3999.0,0.25006251,bids,gemini
629,1554086597,4325.25,0.003068,asks,gemini
130,1554086597,3998.78,0.00438547,bids,gemini
630,1554086597,4328.1,0.25,asks,gemini
131,1554086597,3998.61,0.0087711,bids,gemini
631,1554086597,4329.29,0.007719,asks,gemini
132,1554086597,3997.98,0.00877248,bids,gemini
632,1554086597,4333.0,2.0,asks,gemini
133,1554086597,3997.15,0.04825905,bids,gemini
633,1554086597,4335.47,6.5181103,asks,gemini
134,1554086597,3997.0,2.52572391,bids,gemini
634,1554086597,4340.0,10.0,asks,gemini
135,1554086597,3996.88,0.0875683,bids,gemini
635,1554086597,4343.0,0.00921024,asks,gemini
136,1554086597,3996.45,0.03949145,bids,gemini
636,1554086597,4344.78,1.0,asks,gemini
137,1554086597,3996.0,0.02502502,bids,gemini
637,1554086597,4345.0,48.2,asks,gemini
138,1554086597,3995.55,0.61318216,bids,gemini
638,1554086597,4345.33,11.0,asks,gemini
139,1554086597,3995.0,0.5,bids,gemini
639,1554086597,4346.4,0.001455,asks,gemini
140,1554086597,3994.16,0.00439038,bids,gemini
640,1554086597,4347.0,0.00117084,asks,gemini
141,1554086597,3993.78,0.00125194,bids,gemini
641,1554086597,4350.0,76.79611875,asks,gemini
142,1554086597,3990.6,0.00878863,bids,gemini
642,1554086597,4353.0,0.1,asks,gemini
143,1554086597,3990.0,1.27949121,bids,gemini
643,1554086597,4355.17,0.000856,asks,gemini
144,1554086597,3989.45,0.00439564,bids,gemini
644,1554086597,4360.1,0.05,asks,gemini
145,1554086597,3988.0,0.00125376,bids,gemini
645,1554086597,4364.2,0.25,asks,gemini
146,1554086597,3987.92,0.00879459,bids,gemini
646,1554086597,4369.0,0.2,asks,gemini
147,1554086597,3985.0,0.0501882,bids,gemini
647,1554086597,4375.0,0.5,asks,gemini
148,1554086597,3982.0,0.25,bids,gemini
648,1554086597,4387.0,0.1,asks,gemini
149,1554086597,3980.0,0.01,bids,gemini
649,1554086597,4388.0,0.1799,asks,gemini
150,1554086597,3979.0,0.06534305,bids,gemini
650,1554086597,4388.26,0.003054,asks,gemini
151,1554086597,3978.51,0.00125675,bids,gemini
651,1554086597,4390.0,0.64824515,asks,gemini
152,1554086597,3978.4,0.01,bids,gemini
652,1554086597,4391.0,0.34,asks,gemini
153,1554086597,3978.3,0.00628409,bids,gemini
653,1554086597,4400.0,8.73823659,asks,gemini
154,1554086597,3977.26,0.10057175,bids,gemini
654,1554086597,4400.2,0.25,asks,gemini
155,1554086597,3975.1,7.546e-05,bids,gemini
655,1554086597,4402.74,3.56,asks,gemini
156,1554086597,3975.0,2.50429022,bids,gemini
656,1554086597,4410.0,0.15105279,asks,gemini
157,1554086597,3971.93,0.103,bids,gemini
657,1554086597,4411.03,0.003052,asks,gemini
158,1554086597,3970.0,0.33449369,bids,gemini
658,1554086597,4420.0,0.05,asks,gemini
159,1554086597,3969.99,0.11,bids,gemini
659,1554086597,4425.0,0.5,asks,gemini
160,1554086597,3967.0,0.3,bids,gemini
660,1554086597,4427.74,20.0,asks,gemini
161,1554086597,3965.51,8.0,bids,gemini
661,1554086597,4432.42,7.0,asks,gemini
162,1554086597,3961.78,0.31238988,bids,gemini
662,1554086597,4435.0,0.1,asks,gemini
163,1554086597,3961.74,0.02524143,bids,gemini
663,1554086597,4436.3,0.25,asks,gemini
164,1554086597,3960.0,1.14770199,bids,gemini
664,1554086597,4439.48,0.013909,asks,gemini
